sex,geo,TIME_PERIOD,OBS_VALUE
T,CZ,2017,29
T,CZ,2020,30
T,DE,2006,30
T,DE,2009,25
T,DE,2012,26
T,DE,2014,27
T,DE,2017,25
T,DE,2020,23
T,DK,2006,32
T,DK,2009,29
T,DK,2012,26
T,DK,2014,23
T,DK,2017,19
T,DK,2020,16
T,EE,2006,33
T,EE,2009,32
T,EE,2012,26
T,EE,2014,22
T,EE,2017,23
T,EE,2020,18
T,EL,2006,42
T,EL,2009,42
T,EL,2012,40
T,EL,2014,38
T,EL,2017,37
T,EL,2020,42
T,ES,2006,34
T,ES,2009,35
T,ES,2012,33
T,ES,2014,29
T,ES,2017,27
T,ES,2020,24
T,EU,2006,32
T,EU,2009,29
T,EU,2012,28
T,EU,2014,26
T,EU,2017,26
T,EU,2020,25
T,EU27_2020,2006,31
T,EU27_2020,2009,29
T,EU27_2020,2012,28
T,EU27_2020,2014,27
T,EU27_2020,2017,27
T,EU27_2020,2020,25
T,EU28,2014,26
T,EU28,2017,26
T,FI,2006,26
T,FI,2009,21
T,FI,2012,25
T,FI,2014,19
T,FI,2017,20
T,FI,2020,15
T,FR,2006,33
T,FR,2009,33
T,FR,2012,28
T,FR,2014,32
T,FR,2017,36
T,FR,2020,28
T,HR,2006,33
T,HR,2009,33
T,HR,2014,33
T,HR,2017,35
T,HR,2020,36
T,HU,2006,36
T,HU,2009,38
T,HU,2012,32
T,HU,2014,30
T,HU,2017,27
T,HU,2020,28
T,IE,2006,29
T,IE,2009,31
T,IE,2012,29
T,IE,2014,22
T,IE,2017,19
T,IE,2020,18
T,IT,2006,31
T,IT,2009,26
T,IT,2012,24
T,IT,2014,21
T,IT,2017,25
T,IT,2020,23
T,LT,2006,34
T,LT,2009,30
T,LT,2012,30
T,LT,2014,26
T,LT,2017,29
T,LT,2020,28
T,LU,2006,26
T,LU,2009,25
T,LU,2012,27
T,LU,2014,21
T,LU,2017,21
T,LU,2020,23
T,LV,2006,36
T,LV,2009,36
T,LV,2012,36
T,LV,2014,30
T,LV,2017,32
T,LV,2020,32
T,MT,2006,25
T,MT,2009,26
T,MT,2012,27
T,MT,2014,20
T,MT,2017,24
T,MT,2020,20
T,NL,2006,29
T,NL,2009,23
T,NL,2012,23
T,NL,2014,23
T,NL,2017,19
T,NL,2020,12
T,PL,2006,35
T,PL,2009,33
T,PL,2012,32
T,PL,2014,28
T,PL,2017,30
T,PL,2020,26
T,PT,2006,24
T,PT,2009,23
T,PT,2012,23
T,PT,2014,26
T,PT,2017,26
T,PT,2020,21
T,RO,2006,31
T,RO,2009,30
T,RO,2012,30
T,RO,2014,27
T,RO,2017,28
T,RO,2020,30
T,SE,2006,18
T,SE,2009,16
T,SE,2012,13
T,SE,2014,11
T,SE,2017,7
T,SE,2020,7
T,SI,2006,23
T,SI,2009,26
T,SI,2012,27
T,SI,2014,31
T,SI,2017,28
T,SI,2020,27
T,SK,2006,25
T,SK,2009,26
T,SK,2012,23
T,SK,2014,21
T,SK,2017,26
T,SK,2020,25
T,UK,2006,33
T,UK,2009,28
T,UK,2012,27
T,UK,2014,22
T,UK,2017,17
T,UK,2020,12
